date,killed,city,state,lat,lon
2017-04-07T00:00:00.000Z,5,Houston,TX,29.7589382,-95.3676974
2017-04-10T00:00:00.000Z,3,San Bernardino,CA,34.8253019,-116.0833144
2017-04-30T00:00:00.000Z,4,Topeka,KS,39.049011,-95.677556
2017-05-09T00:00:00.000Z,3,Kansas City,KS,39.100105,-94.5781416
2017-05-12T00:00:00.000Z,4,Kirkersville,OH,39.9595081,-82.5957182
2017-05-16T00:00:00.000Z,3,Ruffin,SC,36.4470802,-79.5438954
2017-05-27T00:00:00.000Z,8,Bogue Chitto,MS,32.834635,-88.9237669544399
2017-06-01T00:00:00.000Z,4,St. Louis,MO,38.6280278,-90.1910154
2017-06-03T00:00:00.000Z,3,New Orleans,LA,29.9759983,-90.0782127
2017-06-03T00:00:00.000Z,3,St. Louis,MO,38.6280278,-90.1910154
2017-06-04T00:00:00.000Z,4,Washington Co.,IN,30.2226352,-96.3936114
2017-06-05T00:00:00.000Z,6,Orlando,FL,28.5421109,-81.3790304
2017-06-05T00:00:00.000Z,3,Sandy,UT,40.5710454,-111.8953815
2017-06-06T00:00:00.000Z,3,Fresno,CA,36.7394421,-119.7848307
2017-06-08T00:00:00.000Z,4,Eaton Twp.,PA,42.554088500000006,-84.76559578948317
2017-06-14T00:00:00.000Z,4,San Francisco,CA,37.7790262,-122.419906
2017-06-15T00:00:00.000Z,5,La Madera,NM,35.222785,-106.3707889
2017-07-03T00:00:00.000Z,3,Prattville,AL,32.4640245,-86.4596966
2017-07-05T00:00:00.000Z,4,Madison,ME,43.074761,-89.3837613
2017-07-12T00:00:00.000Z,4,Gardendale,AL,33.6601033,-86.8127702
2017-07-13T00:00:00.000Z,4,Pickens County,SC,34.4630619,-84.4682402
2017-08-04T00:00:00.000Z,3,Lodge Grass,MT,45.3146237,-107.36367
2017-08-21T00:00:00.000Z,4,Halifax Co.,NC,36.747244,-78.9425634
2017-08-24T00:00:00.000Z,4,Blomington,CA,30.623256,-88.270556
2017-08-25T00:00:00.000Z,4,Glasgow Village,MO,38.753661,-90.1984434
2017-09-03T00:00:00.000Z,3,Lennox,CA,33.9390306,-118.3574427
2017-09-10T00:00:00.000Z,9,Plano,TX,33.0136764,-96.6925096
2017-09-14T00:00:00.000Z,4,Chicago (Brighton Park),IL,41.8189217,-87.6989421
2017-10-01T00:00:00.000Z,3,Lawrence,KS,38.9719384,-95.2359496
2017-10-01T00:00:00.000Z,59,Las Vegas,NV,36.1672559,-115.148516
2017-10-02T00:00:00.000Z,3,Nokomis,FL,27.12327955,-82.43402342848748
2017-10-05T00:00:00.000Z,4,Casa Grande,AZ,32.8795266,-111.757311
2017-10-12T00:00:00.000Z,4,Pedro,OH,28.981648,-82.1198117
2017-10-18T00:00:00.000Z,3,Edgewood,MD,42.6444914,-91.4011118
2017-10-19T00:00:00.000Z,3,Fort Collins,CO,40.5508527,-105.0668085
2017-11-05T00:00:00.000Z,27,Sutherland Springs,TX,29.273321,-98.0570115
2017-11-09T00:00:00.000Z,4,Mapleton,UT,42.1658147,-95.7933336
2017-11-10T00:00:00.000Z,4,Scottsdale,AZ,33.4942189,-111.9260184
2017-11-12T00:00:00.000Z,3,La Grange,NC,29.9080038,-96.8730449
2017-11-14T00:00:00.000Z,6,Corning,CA,42.1435257,-77.0543408
2017-11-24T00:00:00.000Z,3,Osceola Mills,PA,40.8518892,-78.2700257
2017-11-26T00:00:00.000Z,4,Zachary,LA,30.6485191,-91.1564961
2017-12-09T00:00:00.000Z,3,Charlotte,NC,35.2272086,-80.8430827
2017-12-25T00:00:00.000Z,3,Phoenix,AZ,33.4484367,-112.074141
2017-12-31T00:00:00.000Z,4,Long Branch,NJ,40.3042778,-73.9923596
2018-01-05T00:00:00.000Z,4,Santa Clarita,CA,34.3916641,-118.542586
2018-01-07T00:00:00.000Z,4,Redding,CA,40.5863563,-122.391675
2018-01-08T00:00:00.000Z,4,Galvaston,TX,40.5809217,-74.1564348
2018-01-12T00:00:00.000Z,3,Nashville,TN,36.1622767,-86.7742984
